,actor1,actor2,admin1,admin2,admin3,assoc_actor_1,assoc_actor_2,country,data_id,event_date,event_id_cnty,event_id_no_cnty,event_type,fatalities,geo_precision,inter1,inter2,interaction,iso,iso3,latitude,location,longitude,notes,region,source,source_scale,sub_event_type,time_precision,timestamp,year
477,Unidentified Armed Group (Haiti),Private Security Forces (Haiti),Ouest,Port-au-Prince,Port-au-Prince,,,Haiti,6958614,2019-10-23,HTI316,316,Battles,0,1,3,8,38,332,HTI,18.5435,Port-au-Prince,-72.3388,"On October 23, 2019, in Martissant, Port-au-Prince, eight security guards were kidnapped. They were later set free while the group who kidnapped them kept their company vehicle for ransom.",Caribbean,Loop News Haiti,National,Armed clash,1,1582840328,2019
478,Unidentified Gang (Jamaica),Civilians (Jamaica),Kingston,,,,,Jamaica,6958877,2019-10-23,JAM131,131,Violence against civilians,1,1,3,7,37,388,JAM,17.9970,Kingston,-76.7936,"On October 23, 2019, in Vineyard Town, Kingston, a man entered a doctor_ office and shot at the people inside, killing one man and injuring five others, including one child. The attack is believed to be related to an ongoing feud between rival gangs.",Caribbean,Loop News Jamaica,National,Attack,1,1582840329,2019
479,Protesters (Puerto Rico),,San Juan,,,Former Police Forces of Puerto Rico (2019-); Teachers (Puerto Rico),,Puerto Rico,6945393,2019-10-23,PRT190,190,Protests,0,1,6,0,60,630,PRI,18.4663,San Juan,-66.1057,"On October 23, 2019, in San Juan, retired police officers and teachers protested, demanding support on pension cuts form the governor. [size=no report]",Caribbean,El Vocero de Puerto Rico,National,Peaceful protest,1,1582840210,2019
480,Rioters (Haiti),,Ouest,Port-au-Prince,Carrefour,,,Haiti,6985203,2019-10-23,HTI531,531,Riots,0,1,5,0,50,332,HTI,18.5411,Carrefour,-72.3992,"On 23 October 2019, in Carrefour, Port-au-Prince, demonstrators set tires on fire as part of anti-government demonstrations. [size=no report]",Caribbean,Alterpresse,National,Violent demonstration,1,1583951163,2019
481,Rioters (Haiti),Civilians (Haiti),Ouest,Port-au-Prince,Delmas,,Labour Group (Haiti),Haiti,6985204,2019-10-23,HTI532,532,Riots,0,1,5,7,57,332,HTI,18.5447,Delmas,-72.3028,"On 23 October 2019, in Delmas, Port-au-Prince, demonstrators set tires on fire in Delmas 40 B as part of anti-government demonstrations. Demonstrators were throwing stones at motor-taxi passing by. [size=no report]",Caribbean,Alterpresse,National,Violent demonstration,1,1583951163,2019
482,Rioters (Haiti),,Ouest,Port-au-Prince,Petion-Ville,,,Haiti,6985205,2019-10-23,HTI533,533,Riots,0,1,5,0,50,332,HTI,18.5125,Petion-Ville,-72.2853,"On 23 October 2019, in Petion-Ville, Port-au-Prince, demonstrators set tires on fire as part of anti-government demonstrations. [size=no report]",Caribbean,Alterpresse,National,Violent demonstration,1,1583951163,2019
483,Protesters (Puerto Rico),,San Juan,,,Labour Group (Puerto Rico),,Puerto Rico,6941230,2019-10-22,PRT189,189,Protests,0,1,6,0,60,630,PRI,18.4663,San Juan,-66.1057,"On October 22, 2019, in San Juan, there were protests at the University of Puerto Rico, about one hundred current and retired university employees protested cuts and changes to the pension systems. [size=about one hundred]",Caribbean,El Nuevo Dia (Puerto Rico),National,Peaceful protest,1,1582839952,2019
484,Rioters (Haiti),,Ouest,Port-au-Prince,Carrefour,,,Haiti,6958383,2019-10-22,HTI313,313,Riots,0,1,5,0,50,332,HTI,18.5411,Carrefour,-72.3992,"On October 22, 2019, in Carrefour, traffic was paralyzed as demonstrators erected barricades. [size=no report]",Caribbean,Le Nouvelliste,National,Violent demonstration,1,1582840327,2019
485,Protesters (Haiti),,Ouest,Port-au-Prince,Port-au-Prince,Christian Group (Haiti),,Haiti,6958430,2019-10-22,HTI315,315,Protests,0,1,6,0,60,332,HTI,18.5435,Port-au-Prince,-72.3388,"On October 22, 2019, in Port-au-Prince, several thousand people marched in a protest organized by the church, demanding the resignation of the president. [size=several thousand]",Caribbean,Le Nouvelliste,National,Peaceful protest,1,1582840327,2019
486,Unidentified Armed Group (Haiti),Civilians (Haiti),Ouest,Port-au-Prince,Carrefour,,Journalists (Haiti),Haiti,6958475,2019-10-22,HTI314,314,Violence against civilians,0,1,3,7,37,332,HTI,18.5411,Carrefour,-72.3992,"On October 22, 2019, in Carrefour, a journalist known as an opponent to the present regime was attacked and beaten when leaving his home.",Caribbean,Le Nouvelliste,National,Attack,1,1582840328,2019
487,Protesters (Guadeloupe),,Pointe-a-Pitre,Pointe-a-Pitre,,Labour Group (Guadeloupe),,Guadeloupe,6946579,2019-10-21,GLP7,7,Protests,0,1,6,0,60,312,GLP,16.3318,Le Moule,-61.3476,"On October 21, 2019, in Le Moule, workers of a factory who are on strike, organized a slow walking march for two hours on a road, to protest and make their strike visible. [size=no report]",Caribbean,France Info,International,Peaceful protest,1,1582840214,2019
488,Protesters (Puerto Rico),,San Juan,,,Students (Puerto Rico),,Puerto Rico,6941226,2019-10-21,PRT188,188,Protests,0,1,6,0,60,630,PRI,18.4663,San Juan,-66.1057,"On October 21, 2019, in San Juan, there were protests at the University of Puerto Rico, students blocked traffic at the entrance, protesting cuts to the university and closing of facilities such as campus student housing. [size=no report]",Caribbean,El Nuevo Dia (Puerto Rico),National,Peaceful protest,1,1582839952,2019
489,Rioters (Haiti),Unidentified Armed Group (Haiti),Sud-Est,Jacmel,Jacmel,,,Haiti,6931010,2019-10-21,HTI310,310,Riots,0,1,5,3,35,332,HTI,18.2343,Jacmel,-72.5354,"On October 21, 2019, in Jacmel, seven men were shot and injured by unknown suspects as they were setting up a roadblock as part of anti-government demonstrations. [size=no report]",Caribbean,AP,International,Violent demonstration,1,1582839794,2019
490,Protesters (Haiti),,Sud,Les Cayes,Les Cayes,Teachers (Haiti); Students (Haiti),,Haiti,6958453,2019-10-21,HTI311,311,Protests,0,1,6,0,60,332,HTI,18.1933,Les Cayes,-73.7460,"On October 21, 2019, in Les Cayes, thousands of protesters; teachers, school managers, pupils, students and parents, demanded the reopening of schools and the resignation of the president. [size=thousands]",Caribbean,Le Nouvelliste,National,Peaceful protest,1,1582840328,2019
491,Rioters (Haiti),,Nippes,Miragoane,Miragoane,,,Haiti,6958499,2019-10-21,HTI312,312,Riots,0,1,5,0,50,332,HTI,18.4423,Miragoane,-73.0876,"On October 21, 2019, in Miragoane, traffic was blocked by barricades on several roads, stopping all traffic between Miragoane and Les Cayes and Port-au-Prince. [size=no report]",Caribbean,Le Nouvelliste,National,Violent demonstration,1,1582840328,2019
492,Protesters (Haiti),,Grand'Anse,Jeremie,Jeremie,Teachers (Haiti),,Haiti,6985201,2019-10-21,HTI529,529,Protests,0,1,6,0,60,332,HTI,18.6500,Jeremie,-74.1167,"On 21 October 2019, in Jeremie, teachers marched to demand the resignation of the president. [size=no report]",Caribbean,Alterpresse,National,Peaceful protest,1,1583951163,2019
493,Protesters (Haiti),,Ouest,Port-au-Prince,Port-au-Prince,Teachers (Haiti); Students (Haiti),,Haiti,6985202,2019-10-21,HTI530,530,Protests,0,1,6,0,60,332,HTI,18.5435,Port-au-Prince,-72.3388,"On 21 October 2019, in Port-au-Prince, several hundreds of teachers, parents and students marched to demand the resignation of the president. [size=several hundreds]",Caribbean,Alterpresse,National,Peaceful protest,1,1583951163,2019
494,Protesters (Puerto Rico),,San Juan,,,Labour Group (Puerto Rico),,Puerto Rico,6941233,2019-10-20,PRT187,187,Protests,0,1,6,0,60,630,PRI,18.4663,San Juan,-66.1057,"On October 20, 2019, in San Juan, hundreds of retirees protested against pension cuts. [size=hundreds]",Caribbean,El Nuevo Dia (Puerto Rico),National,Peaceful protest,1,1582839952,2019
495,Unidentified Armed Group (Haiti),Police Forces of Haiti (2011-),Ouest,Port-au-Prince,Port-au-Prince,,,Haiti,6958649,2019-10-20,HTI307,307,Battles,1,1,3,1,13,332,HTI,18.5435,Port-au-Prince,-72.3388,"On October 20, 2019, in Portail-Leogane, Port-au-Prince, a policeman was shot and killed by unidentified suspects.",Caribbean,Loop News Haiti,National,Armed clash,1,1582840328,2019
496,Protesters (Haiti),,Ouest,Port-au-Prince,Port-au-Prince,,,Haiti,6958657,2019-10-20,HTI309,309,Protests,0,1,6,0,60,332,HTI,18.5435,Port-au-Prince,-72.3388,"On October 20, 2019, in Port-au-Prince, thousands of people protested against the president, in a march called for by religious leaders and artist. [size=thousands]",Caribbean,Loop News Haiti,National,Peaceful protest,1,1582840328,2019
497,Unidentified Armed Group (Cuba),Civilians (Cuba),Santiago de Cuba,Santiago de Cuba,,,LGBT (Cuba),Cuba,6925910,2019-10-20,CUB19,19,Violence against civilians,1,1,3,7,37,192,CUB,20.0208,Santiago de Cuba,-75.8267,"On October 20, 2019, in Santiago de Cuba, a man was killed and found in a field. Sources suggest it was a hate crime because he was gay.",Caribbean,CiberCuba; CubaNet,National,Attack,2,1582839777,2019
498,Unidentified Armed Group (Haiti),Civilians (Haiti),Ouest,Port-au-Prince,Port-au-Prince,,,Haiti,6958434,2019-10-20,HTI308,308,Violence against civilians,0,1,3,7,37,332,HTI,18.5435,Port-au-Prince,-72.3388,"On 20 October 2019 in Port-au-Prince, the wife and son of the leader of the organization Workers against Exclusion (OTAE) were shot and injured. The leader and his wife have reported to the police in October and November that they continue to receive death threats.",Caribbean,Le Nouvelliste,National,Attack,1,1582840328,2019
499,Protesters (Haiti),,Ouest,Port-au-Prince,Petion-Ville,,,Haiti,6985200,2019-10-20,HTI528,528,Protests,0,1,6,0,60,332,HTI,18.5125,Petion-Ville,-72.2853,"On 20 October 2019, in Petion-Ville, people gathered to protest against the current government. [size=no report]",Caribbean,Alterpresse,National,Peaceful protest,1,1583951163,2019
500,Unidentified Armed Group (Puerto Rico),Unidentified Gang (Puerto Rico),San Juan,,,,,Puerto Rico,6945385,2019-10-19,PRT186,186,Battles,1,1,3,3,33,630,PRI,18.4663,San Juan,-66.1057,"On October 19, 2019, in Cupey, San Juan, a man with a criminal record for arms and drugs was shot and killed inside a car.",Caribbean,El Vocero de Puerto Rico,National,Armed clash,1,1582840210,2019
501,Protesters (Haiti),Police Forces of Haiti (2011-),Sud,Les Cayes,Les Cayes,Journalists (Haiti),,Haiti,6958628,2019-10-17,HTI303,303,Protests,0,1,6,1,16,332,HTI,18.1933,Les Cayes,-73.7460,"On October 17, 2019, in Les Cayes, there were demonstrations where police intervened with tear gas and gunfire, and they beat up a journalist who was covering the demonstrations. [size=no report]",Caribbean,Loop News Haiti,National,Protest with intervention,1,1582840328,2019
502,Unidentified Armed Group (Puerto Rico),Unidentified Gang (Puerto Rico),Carolina,,,,,Puerto Rico,6941228,2019-10-17,PRT185,185,Battles,2,1,3,3,33,630,PRI,18.3808,Carolina,-65.9574,"On October 17, 2019, in Carolina, two men were shot and killed inside a car, with shots to the back of the head, neck, and back. In the car pink pills were found. One of the men had previously been arrested on drug charges.",Caribbean,El Nuevo Dia (Puerto Rico),National,Armed clash,1,1582839952,2019
503,Rioters (Haiti),Police Forces of Haiti (2011-),Ouest,Port-au-Prince,Port-au-Prince,,,Haiti,6931006,2019-10-17,HTI305,305,Riots,0,1,5,1,15,332,HTI,18.5435,Port-au-Prince,-72.3388,"On October 17, 2019, in Port-au-Prince, thousands of people demonstrated against the government, clashing with the police, and blocking the president_ access to a historic site at Pont-Rouge. [size=thousands]",Caribbean,AP,International,Violent demonstration,1,1582839794,2019
504,Rioters (Haiti),Police Forces of Haiti (2011-),Ouest,Leogane,Leogane,,,Haiti,6926156,2019-10-17,HTI302,302,Riots,1,1,5,1,15,332,HTI,18.5111,Leogane,-72.6334,"On October 17, 2019, in Leogane, demonstrators attacked and set fire to public buildings and police vehicles. One boy was shot and killed during a police intervention with teargas and gunfire. [size=no report]",Caribbean,Loop News Haiti; Le Nouvelliste,National,Violent demonstration,1,1582839778,2019
505,Protesters (Haiti),,Nord,Cap-Haitien,Cap-Haitien,,,Haiti,6958418,2019-10-17,HTI301,301,Protests,0,1,6,0,60,332,HTI,19.7594,Cap-Haitien,-72.1982,"On October 17, 2019, in Cap-Haitien, thousands of people protested against the president. [size=thousands]",Caribbean,Le Nouvelliste,National,Peaceful protest,1,1582840327,2019
506,Protesters (Cuba),Police Forces of Cuba (1959-),Habana,Habana,,,,Cuba,6932824,2019-10-17,CUB18,18,Protests,0,1,6,1,16,192,CUB,23.1330,Habana,-82.3830,"On October 17, 2019, in Habana, there was a protest to demand liberty for a prisoner. Four protesters were detained for six hours and given a fine. It is unclear whether more people participated in the protest. [size=no report]",Caribbean,CiberCuba,National,Protest with intervention,1,1582839800,2019
507,Protesters (Haiti),,Centre,Mirebalais,Mirebalais,Journalists (Haiti),,Haiti,6958457,2019-10-17,HTI304,304,Protests,0,1,6,0,60,332,HTI,18.8346,Mirebalais,-72.1048,"On October 17, 2019, in Mirebalais, hundreds of people, many of them journalists, marched to protest the murder of a journalist on October 11, demanding that the authorities investigate his murder. [size=hundreds]",Caribbean,Le Nouvelliste,National,Peaceful protest,1,1582840328,2019
508,Rioters (Haiti),Unidentified Armed Group (Haiti),Ouest,Port-au-Prince,Port-au-Prince,Civilians (Haiti),,Haiti,6958746,2019-10-17,HTI306,306,Riots,1,1,5,3,35,332,HTI,18.5435,Port-au-Prince,-72.3388,"On October 17, 2019, in Port-au-Prince, during a demonstration, one man was killed and another injured by gunshots. Sources say the dead man tried to kidnap the other man who was injured, a demonstrator. [size=no report]",Caribbean,Loop News Haiti,National,Violent demonstration,1,1582840329,2019
509,Rioters (Haiti),Police Forces of Haiti (2011-),Artibonite,Gonaives,Gonaives,,Civilians (Haiti),Haiti,6945333,2019-10-16,HTI298,298,Riots,0,1,5,1,15,332,HTI,19.4475,Gonaives,-72.6890,"On October 15, 2019, in Gonaives, at least two people were injured with gunshot wounds in clashes between armed demonstrators, police, and residents, during a demonstration against the swearing in of a new MP from the area. [size=no report]",Caribbean,El Vocero de Puerto Rico,Regional,Violent demonstration,1,1582840210,2019
510,Rioters (Haiti),Police Forces of Haiti (2011-),Ouest,Port-au-Prince,Port-au-Prince,,,Haiti,6931000,2019-10-16,HTI300,300,Riots,0,1,5,1,15,332,HTI,18.5435,Port-au-Prince,-72.3388,"On October 16, 2019, in Port-au-Prince, there were clashes between police and people participating in funerals for people who have died during anti-government demonstrations. At least two people were injured when presidential guards tried to block a road. [size=hundreds]",Caribbean,AP,International,Violent demonstration,1,1582839794,2019
511,Unidentified Armed Group (Puerto Rico),Civilians (Puerto Rico),San Juan,,,,,Puerto Rico,6941244,2019-10-16,PRT184,184,Violence against civilians,2,1,3,7,37,630,PRI,18.4663,San Juan,-66.1057,"On October 16, 2019, in Rio Piedras, two men were shot and killed, found with their hands and feet tied, inside a car that was on and open, and had been reported stolen.",Caribbean,El Nuevo Dia (Puerto Rico),National,Attack,1,1582839952,2019
512,Unidentified Armed Group (Haiti),Civilians (Haiti),Ouest,Port-au-Prince,Delmas,,Government of Haiti (2011-),Haiti,6958448,2019-10-16,HTI297,297,Violence against civilians,1,1,3,7,37,332,HTI,18.5447,Delmas,-72.3028,"On October 16, 2019, in Delmas, an agent from the General Security Unit of the National Palace was shot and killed by attackers on a motorbike.",Caribbean,Le Nouvelliste,National,Attack,1,1582840328,2019
513,Unidentified Armed Group (Haiti),Civilians (Haiti),Centre,Mirebalais,Mirebalais,,,Haiti,6958503,2019-10-16,HTI299,299,Violence against civilians,0,1,3,7,37,332,HTI,18.8346,Mirebalais,-72.1048,"On October 16, 2019, in Mirebalais, the wife of the journalist killed the week before reported to the police that she was being threatened since her husband_ death, her house had been attacked with stones and gunshots at least five times since October 10 when her husband was found dead.",Caribbean,Le Nouvelliste,National,Attack,2,1582840328,2019
514,Police Forces of Cuba (1959-),Civilians (Cuba),Habana,Habana,,,Labour Group (Cuba),Cuba,6934219,2019-10-16,CUB17,17,Violence against civilians,0,1,1,7,17,192,CUB,23.1330,Habana,-82.3830,"On October 16, 2019, in Habana, a motorcycle taxi driver was injured and detained after an physical attack by a police officer.",Caribbean,CubaNet,National,Attack,1,1582839804,2019
515,Unidentified Gang (Jamaica),Police Forces of Jamaica (2016-),Kingston,,,,,Jamaica,6958888,2019-10-15,JAM130,130,Battles,0,1,3,1,13,388,JAM,17.9970,Kingston,-76.7936,"On October 15, 2019, in Kingston, there was a shootout in an area where rival gangs have an ongoing feud. An armed group opened fire on a police vehicle, the police fired back.",Caribbean,Loop News Jamaica,National,Armed clash,1,1582840329,2019
516,Protesters (Haiti),,Ouest,Port-au-Prince,Port-au-Prince,,,Haiti,6931020,2019-10-15,HTI296,296,Protests,0,1,6,0,60,332,HTI,18.5435,Port-au-Prince,-72.3388,"On October 15, 2019, in Port-au-Prince, a couple hundred people marched through the city protesting the president, after he gave a public speech saying he would not resign. [size=a couple hundred]",Caribbean,AP,International,Peaceful protest,1,1582839794,2019
517,Protesters (Cuba),,Habana,Habana,,,,Cuba,6925909,2019-10-15,CUB16,16,Protests,0,1,6,0,60,192,CUB,23.1330,Habana,-82.3830,"On October 15, 2019, in Marianao, Habana, a group of dozens of people demonstrated against eviction from and demolition of irregular housing, some stopped traffic, going into the road with their banners. [size=dozens]",Caribbean,CiberCuba; CubaNet,National,Peaceful protest,1,1582839777,2019
518,Unidentified Armed Group (Haiti),Civilians (Haiti),Ouest,Port-au-Prince,Carrefour,,,Haiti,6958433,2019-10-15,HTI294,294,Violence against civilians,0,1,3,7,37,332,HTI,18.5411,Carrefour,-72.3992,"On October 15, 2019, in Carrefour, three people were injured in a drive-by shooting when a vehicle with tinted windows opened fire.",Caribbean,Le Nouvelliste,National,Attack,1,1582840328,2019
519,Unidentified Armed Group (Trinidad and Tobago),Unidentified Gang (Trinidad and Tobago),Siparia,,,,,Trinidad and Tobago,6962549,2019-10-15,TTQ151,151,Battles,1,1,3,3,33,780,TTO,10.0935,Palo Seco,-61.5892,"On October 15, 2019, in Palo Seco, a woman was killed and a man injured by gunshots as they were attacked in their home. Their two small children witnessed the killing. Police suggest the man was the main target and may have been killed over a drug related issue.",Caribbean,Newsday Trinidad and Tobago,National,Armed clash,1,1582840340,2019
520,Protesters (Puerto Rico),,San Juan,,,Students (Puerto Rico); Labour Group (Puerto Rico),,Puerto Rico,6928273,2019-10-15,PRT183,183,Protests,0,1,6,0,60,630,PRI,18.4663,San Juan,-66.1057,"On October 15, 2019, in Hato Rey, San Juan, there was a protest against the new members of The Financial Oversight and Management Board for Puerto Rico. The protesters were from labor unions, retirees, students and general population. [size=no report]",Caribbean,AP; El Vocero de Puerto Rico,National-International,Peaceful protest,1,1582839785,2019
521,Unidentified Armed Group (Haiti),Civilians (Haiti),Ouest,Port-au-Prince,Port-au-Prince,,,Haiti,6958497,2019-10-15,HTI295,295,Violence against civilians,3,1,3,7,37,332,HTI,18.5435,Port-au-Prince,-72.3388,"On October 15, 2019, in Port-au-Prince, three dead bodies were found, after a group on a motorbike had opened fire on them while driving by.",Caribbean,Le Nouvelliste,National,Attack,2,1582840328,2019
522,Unidentified Gang (Puerto Rico),Civilians (Puerto Rico),Guaynabo,,,,,Puerto Rico,6945277,2019-10-15,PRT182,182,Violence against civilians,2,1,3,7,37,630,PRI,18.3575,Guaynabo,-66.1110,"On October 13, 2019, in Guaynabo, two men were shot and killed by an unidentified person while they were in a car. One of them had a criminal record for drugs and the killing is believed to be related to drug debts.",Caribbean,El Vocero de Puerto Rico,National,Attack,1,1582840209,2019
523,Protesters (Haiti),Police Forces of Haiti (2011-),Ouest,Port-au-Prince,Petion-Ville,,,Haiti,6985197,2019-10-14,HTI525,525,Protests,0,1,6,1,16,332,HTI,18.5125,Petion-Ville,-72.2853,"On 14 October 2019, in Petion-Ville, police forces dispersed an anti-government protest. [size=no report]",Caribbean,Alterpresse,National,Protest with intervention,1,1583951163,2019
524,Protesters (Haiti),,Ouest,Leogane,Petit-Goave,,,Haiti,6985198,2019-10-14,HTI526,526,Protests,0,1,6,0,60,332,HTI,18.4312,Petit-Goave,-72.8652,"On 14 October 2019, in Petit-Goave, people gathered to protest against the current government. [size=no report]",Caribbean,Alterpresse,National,Peaceful protest,1,1583951163,2019
525,Rioters (Haiti),,Ouest,Port-au-Prince,Port-au-Prince,,,Haiti,6985199,2019-10-14,HTI527,527,Riots,0,1,5,0,50,332,HTI,18.5435,Port-au-Prince,-72.3388,"On 14 October 2019, in Port-au-Prince, tires were set on fire as part of anti-government demonstrations. [size=no report]",Caribbean,Alterpresse,National,Violent demonstration,1,1583951163,2019
526,Protesters (Haiti),,Ouest,Port-au-Prince,Port-au-Prince,,,Haiti,6958376,2019-10-13,HTI293,293,Protests,0,1,6,0,60,332,HTI,18.5435,Port-au-Prince,-72.3388,"On October 13, 2019, in Port-au-Prince, thousands of people protested in a march organized by music artists, demanding the resignation of the president. [size=thousands]",Caribbean,Le Nouvelliste,National,Peaceful protest,1,1582840327,2019
527,Unidentified Armed Group (Antigua and Barbuda),Civilians (Antigua and Barbuda),Saint John,,,,Government of Antigua and Barbuda (2014-),Antigua and Barbuda,6930991,2019-10-13,ATG7,7,Violence against civilians,0,1,3,7,37,28,ATG,17.1210,Saint John's,-61.8433,"On October 13, 2019, in Saint John's, a man was shot and injured by two men outside his house. The man was a custom_ officer and part of a team investigating a $3 million customs fraud made public the week prior.",Caribbean,Antigua Observer,Regional,Attack,1,1582839794,2019
528,Unidentified Gang (Puerto Rico),Unidentified Gang (Puerto Rico),San Juan,,,,,Puerto Rico,6928272,2019-10-13,PRT181,181,Battles,6,1,3,3,33,630,PRI,18.4663,San Juan,-66.1057,"On October 14, 2019, in Rio Piedras, San Juan, six people were shot and killed, and at least two more injured, in a shootout that is believed to be connected with the fight to control drug sales in the area.",Caribbean,El Vocero de Puerto Rico; AP,National-International,Armed clash,1,1582839785,2019
529,Protesters (Haiti),,Ouest,Port-au-Prince,Port-au-Prince,Students (Haiti),,Haiti,6985196,2019-10-13,HTI524,524,Protests,0,1,6,0,60,332,HTI,18.5435,Port-au-Prince,-72.3388,"On 13 October 2019, in Port-au-Prince, a dozens of students started a hunger strike in the premises of the State University of Haiti to protest against the current government involved in several corruption scandals. [size=dozens]",Caribbean,Alterpresse,National,Peaceful protest,1,1583951163,2019
530,Rioters (Haiti),Police Forces of Haiti (2011-),Ouest,Port-au-Prince,Port-au-Prince,,,Haiti,6931004,2019-10-11,HTI291,291,Riots,0,1,5,1,15,332,HTI,18.5435,Port-au-Prince,-72.3388,"On October 11, 2019, in Port-au-Prince, thousands of people demonstrated against the president. There were clashes between demonstrators and police, demonstrators burned tires, looted stores, and tried to break through barricades into the president_ residence while the police fired tear gas and bullets into the air. [size=thousands]",Caribbean,AP,International,Violent demonstration,1,1582839794,2019
531,Rioters (Haiti),Police Forces of Haiti (2011-),Artibonite,Saint-Marc,Saint-Marc,,,Haiti,6958705,2019-10-11,HTI292,292,Riots,1,1,5,1,15,332,HTI,19.1082,Saint-Marc,-72.6938,"On October 11, 2019, in Saint-Marc, a 17-year-old was shot and killed during a demonstration against the president. Witnesses say a policeman who was shot in the knee, fired and killed the teenager. Several other people were also injured, and demonstrators set fire to a minibus and two national bank offices. [size=no report]",Caribbean,Loop News Haiti,National,Violent demonstration,1,1582840328,2019
532,Rioters (Haiti),Police Forces of Haiti (2011-),Nord,Cap-Haitien,Cap-Haitien,,,Haiti,6958333,2019-10-11,HTI290,290,Riots,0,1,5,1,15,332,HTI,19.7594,Cap-Haitien,-72.1982,"On October 11, 2019, in Cap-Haitien, there was a demonstration with people marching against the president. When they arrived downtown, police used teargas to disperse the demonstrators, who answered throwing rocks. [size=no report]",Caribbean,Le Nouvelliste,National,Violent demonstration,1,1582840327,2019
533,Unidentified Armed Group (Haiti),Civilians (Haiti),Centre,Mirebalais,Mirebalais,,Journalists (Haiti),Haiti,6958672,2019-10-10,HTI288,288,Violence against civilians,1,1,3,7,37,332,HTI,18.8346,Mirebalais,-72.1048,"On October 10, 2019, in Mirebalais, a journalist was shot and killed, found in his car with at least two bullet wounds.",Caribbean,Loop News Haiti,National,Attack,1,1582840328,2019
534,Rioters (Haiti),Police Forces of Haiti (2011-),Centre,Hinche,Hinche,,,Haiti,6958417,2019-10-10,HTI287,287,Riots,0,1,5,1,15,332,HTI,19.1500,Hinche,-72.0167,"On October 10, 2019, in Hinche, hundreds of people demonstrated, demanding the resignation of the president. At the town market, they were attacking vendors, throwing rocks, and gunshots and teargas was fired in clashes between the police and the demonstrators. [size=hundreds]",Caribbean,Le Nouvelliste,National,Violent demonstration,1,1582840327,2019
535,Village de Dieu Gang,Civilians (Haiti),Ouest,Port-au-Prince,Port-au-Prince,,Labour Group (Haiti),Haiti,6958720,2019-10-10,HTI289,289,Violence against civilians,0,1,3,7,37,332,HTI,18.5435,Port-au-Prince,-72.3388,"On October 10, 2019, in Port-au-Prince, members of the Village de Dieu gang have intercepted a bus, shot at it and injuring four passengers; keeping the driver, another worker, and the bus for ransom. They let the passengers go after a while.",Caribbean,Loop News Haiti,National,Attack,1,1582840328,2019
536,Unidentified Armed Group (Jamaica),Civilians (Jamaica),Trelawny,,,,,Jamaica,6958798,2019-10-10,JAM129,129,Violence against civilians,1,1,3,7,37,388,JAM,18.4936,Falmouth,-77.6559,"On October 10, 2019, in Falmouth, a man was shot and killed in a drive-by shooting. The man was recently released from custody due to his possible involvement with a murder last month.",Caribbean,Loop News Jamaica,National,Attack,1,1582840329,2019
537,Rioters (Haiti),,Nippes,Miragoane,Miragoane,,,Haiti,6958343,2019-10-09,HTI285,285,Riots,0,1,5,0,50,332,HTI,18.4423,Miragoane,-73.0876,"On October 9, 2019, in Miragoane, hundreds of people demonstrated, demanding the resignation of the president. At the end of the demonstration, they were throwing rocks, and gunshots were fired. [size=hundreds]",Caribbean,Le Nouvelliste,National,Violent demonstration,1,1582840327,2019
538,Rioters (Guadeloupe),Police Forces of France (2017-),Basse-Terre,Baie-Mahault,,,Rioters (Guadeloupe),Guadeloupe,6946599,2019-10-09,GLP6,6,Riots,0,1,5,1,15,312,GLP,16.2674,Baie-Mahault,-61.5854,"On October 9, 2019, in Baie-Mahault, there were demonstrations due to economic issues, where people set fire to barricades. Police and firefighters intervened and threw rocks at demonstrators. [size=no report]",Caribbean,France Info,International,Violent demonstration,1,1582840214,2019
539,Unidentified Armed Group (Haiti),Civilians (Haiti),Artibonite,Saint-Marc,Saint-Marc,,,Haiti,6958644,2019-10-09,HTI286,286,Violence against civilians,1,1,3,7,37,332,HTI,19.1082,Saint-Marc,-72.6938,"On October 9, 2019, in Saint-Marc, a man was shot and killed by two armed persons on a motorbike. Two others were injured.",Caribbean,Loop News Haiti,National,Attack,1,1582840328,2019
540,Unidentified Armed Group (Trinidad and Tobago),Civilians (Trinidad and Tobago),Tunapuna/Piarco,,,,Police Forces of Trinidad and Tobago (2015-),Trinidad and Tobago,6958915,2019-10-09,TTQ150,150,Violence against civilians,0,1,3,7,37,780,TTO,10.6288,Arouca,-61.3349,"On October 9, 2019, in Arouca, police rescued 69 people, 65 men and 4 women, who were held captive in cages at a church, in an operation against human trafficking and slavery. Six people have been arrested.",Caribbean,Loop News Trinidad and Tobago,National,Abduction/forced disappearance,3,1582840329,2019
541,Unidentified Gang (Puerto Rico),Civilians (Puerto Rico),San German,,,,Labour Group (Puerto Rico),Puerto Rico,6945360,2019-10-09,PRT180,180,Violence against civilians,1,1,3,7,37,630,PRI,18.0816,San German,-67.0449,"On October 9, 2019, in San German, a businessman was shot and killed when arriving at his house. He had been threatened by a drug criminal, and an undercover policeman who had worked with him was killed in February.",Caribbean,El Vocero de Puerto Rico,National,Attack,1,1582840210,2019
